Facility_Name,City,State,Beds,Ownership,Part,NPI,NPI_Legal_Name,Phone,Address,ZIP,Specialty,Medicare_ID,Has_AHD_Data,AHD_URL
River Oaks Hospital,Harahan,LA,126,OWNED,2,,,,,,,194003,Yes,https://www.ahd.com/free_profile/194003/River-Oaks-Hospital/Harahan/LA/
River Park Hospital,Huntington West,VA,187,OWNED,2,,,,,,,474005,Yes,https://www.ahd.com/free_profile/474005/River-Park-Hospital/Huntington-West/VA/
River Point Behavioral Health,Jacksonville,FL,84,OWNED,2,,,,,,,104086,Yes,https://www.ahd.com/free_profile/104086/River-Point-Behavioral-Health/Jacksonville/FL/
River Vista Behavioral Health,Madera,CA,128,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=River+Vista+Behavioral+Health+CA
Riveredge Hospital,Forest Park,IL,210,OWNED,2,1225381106,RIVEREDGE HOSPITAL INC,708-771-7000,8311 W ROOSEVELT ROAD,60130,Psychiatric Residential Treatment Facility,,No,https://www.ahd.com/search.php?search=Riveredge+Hospital+IL
Rockford Center,Newark,DE,148,OWNED,2,1275695355,ROCKFORD CENTER,302-892-4204,100 ROCKFORD DR,19713,Psychiatric Hospital,084002,Yes,https://www.ahd.com/free_profile/084002/Rockford-Center/Newark/DE/
Rolling Hills Hospital,Franklin,TN,130,OWNED,2,1942442710,ROLLING HILLS HOSPITAL LLC,615-312-5700,6640 CAROTHERS PKWY,37067,Psychiatric Hospital,054085,Yes,https://www.ahd.com/free_profile/054085/Rolling-Hills-Hospital/Franklin/TN/
Roxbury Treatment Center,Shippensburg,PA,112,OWNED,2,1295819704,ROXBURY TREATMENT CENTER,717-532-4217,601 ROXBURY RD,17257,Psychiatric Hospital,394030,Yes,https://www.ahd.com/free_profile/394030/Roxbury-Treatment-Center/Shippensburg/PA/
Saint Simons By-The-Sea,Saint Simons Island,GA,101,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Saint+Simons+By-The-Sea+GA
Salt Lake Behavioral Health,Salt Lake City,UT,118,LEASED,2,1053666883,SALT LAKE BEHAVIORAL HEALTH,801-264-6000,3802 S 700 E,84106,Psychiatric Hospital,464015,Yes,https://www.ahd.com/free_profile/464015/Salt-Lake-Behavioral-Health/Salt-Lake-City/UT/
San Marcos Treatment Center,San Marcos,TX,265,OWNED,2,1942290267,"TEXAS SAN MARCOS TREATMENT CENTER, LP",512-396-8500,120 BERT BROWN ST,78666,Psychiatric Residential Treatment Facility,454092,Yes,https://www.ahd.com/free_profile/454092/San-Marcos-Treatment-Center/San-Marcos/TX/
SandyPines Residential Treatment Center,Jupiter,FL,149,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=SandyPines+Residential+Treatment+Center+FL
Sierra Vista Hospital,Sacramento,CA,171,OWNED,2,1528066685,BHC SIERRA VISTA HOSPITAL INC.,916-288-0300,8001 BRUCEVILLE RD,95823,Psychiatric Hospital,054082,Yes,https://www.ahd.com/free_profile/054082/Sierra-Vista-Hospital/Sacramento/CA/
Skywood Recovery,Augusta,MI,100,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Skywood+Recovery+MI
Southeast Behavioral Health,Cape Girardeau,MO,102,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Southeast+Behavioral+Health+MO
Spring Mountain Sahara,Las Vegas,NV,30,OWNED,2,1417312778,SPRING VALLEY MEDICAL CENTER,702-873-2400,5460 W SAHARA AVE,89146,Psychiatric Hospital,294038,Yes,https://www.ahd.com/free_profile/294038/Spring-Mountain-Sahara/Las-Vegas/NV/
Spring Mountain Treatment Center,Las Vegas,NV,110,OWNED,2,1255306270,SPRING VALLEY MEDICAL CENTER,702-873-2400,7000 W SPRING MOUNTAIN RD,89117,Psychiatric Hospital,294037,Yes,https://www.ahd.com/free_profile/294037/Spring-Mountain-Treatment-Center/Las-Vegas/NV/
Springwoods Behavioral Health,Fayetteville,AR,80,OWNED,2,,,,,,,014016,Yes,https://www.ahd.com/free_profile/014016/Springwoods-Behavioral-Health/Fayetteville/AR/
Stonington Institute,North Stonington,CT,64,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Stonington+Institute+CT
Streamwood Behavioral Healthcare System,Streamwood,IL,178,OWNED,2,1972058568,BHC STREAMWOOD HOSPITAL INC,630-483-5578,1400 E IRVING PARK RD,60107,Clinic/Center,,No,https://www.ahd.com/search.php?search=Streamwood+Behavioral+Healthcare+System+IL
Summit Oaks Hospital,Summit,NJ,126,OWNED,2,1215384862,SUMMIT OAKS HOSPITAL,908-522-7000,19 PROSPECT ST,07901,Psychiatric Unit,,No,https://www.ahd.com/search.php?search=Summit+Oaks+Hospital+NJ
SummitRidge Hospital,Lawrenceville,GA,106,OWNED,2,1033359195,"UHS OF SUMMITRIDGE, LLC",678-442-5900,250 SCENIC HWY,30045,"Psychiatry & Neurology, Psychiatry",114049,Yes,https://www.ahd.com/free_profile/114049/SummitRidge-Hospital/Lawrenceville/GA/
Suncoast Behavioral Health Center,Bradenton,FL,60,OWNED,2,1740600709,"PREMIER BEHAVIORAL SOLUTIONS OF FLORIDA, INC",417-274-9038,4480 51ST ST W,34210,"Psychiatry & Neurology, Psychiatry",104063,Yes,https://www.ahd.com/free_profile/104063/Suncoast-Behavioral-Health-Center/Bradenton/FL/
Texas NeuroRehab Center,Austin,TX,137,OWNED,2,,,,,,,454067,Yes,https://www.ahd.com/free_profile/454067/Texas-NeuroRehab-Center/Austin/TX/
Three Rivers Behavioral Health,West Columbia,SC,129,OWNED,2,1073509055,"THREE RIVERS BEHAVIORAL CARE, LLC",803-796-9911,2900 SUNSET BLVD,29169,"Clinic/Center, Adolescent and Children Mental Health",424012,Yes,https://www.ahd.com/free_profile/424012/Three-Rivers-Behavioral-Health/West-Columbia/SC/
Three Rivers Midlands,West Columbia,SC,64,OWNED,2,1821524067,THREE RIVERS MIDLANDS,803-791-9918,200 ERMINE RD,29170,Psychiatric Residential Treatment Facility,,No,https://www.ahd.com/search.php?search=Three+Rivers+Midlands+SC
Turning Point Care Center,Moultrie,GA,79,OWNED,2,,,,,,,114031,Yes,https://www.ahd.com/free_profile/114031/Turning-Point-Care-Center/Moultrie/GA/
University Behavioral Center,Orlando,FL,112,OWNED,2,1851395263,UNIVERSITY BEHAVIORAL LLC,407-281-7000,2500 DISCOVERY DRIVE,32826,"Psychiatry & Neurology, Psychiatry",104060,Yes,https://www.ahd.com/free_profile/104060/University-Behavioral-Center/Orlando/FL/
University Behavioral Health of Denton,Denton,TX,104,OWNED,2,,,,,,,454108,Yes,https://www.ahd.com/free_profile/454108/University-Behavioral-Health-of-Denton/Denton/TX/
Valle Vista Health System,Greenwood,IN,140,OWNED,2,1467612341,VALLE VISTA LLC,317-887-1348,898 E MAIN ST,46143,Psychiatric Hospital,054083,Yes,https://www.ahd.com/free_profile/054083/Valle-Vista-Health-System/Greenwood/IN/
Valley Hospital,Phoenix,AZ,122,OWNED,2,,,,,,,034023,Yes,https://www.ahd.com/free_profile/034023/Valley-Hospital/Phoenix/AZ/
Via Linda Behavioral Hospital,Scottsdale,AZ,120,LEASED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Via+Linda+Behavioral+Hospital+AZ
The Vines Hospital,Ocala,FL,98,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=The+Vines+Hospital+FL
Virginia Beach Psychiatric Center,Virginia Beach,VA,100,OWNED,2,1326071093,FIRST HOSPITAL CORPORATION OF VIRGINIA BEACH,757-496-6000,1100 FIRST COLONIAL RD,23454,Psychiatric Hospital,494015,Yes,https://www.ahd.com/free_profile/494015/Virginia-Beach-Psychiatric-Center/Virginia-Beach/VA/
Wekiva Springs Center,Jacksonville,FL,120,OWNED,2,1942471065,WEKIVA SPRINGS CENTER LLC,904-296-3533,3947 SALISBURY RD,32216,"Psychiatry & Neurology, Psychiatry",104022,Yes,https://www.ahd.com/free_profile/104022/Wekiva-Springs-Center/Jacksonville/FL/
Wellstone Regional Hospital,Jeffersonville,IN,100,OWNED,2,1376746818,WELLSTONE REGIONAL HOSPITAL,812-284-8000,2700 VISSING PARK RD.,47130,"Clinic/Center, Mental Health (Including Community Mental Health Center)",154051,Yes,https://www.ahd.com/free_profile/154051/Wellstone-Regional-Hospital/Jeffersonville/IN/
West Oaks Hospital,Houston,TX,176,OWNED,2,1598764359,"TEXAS WEST OAKS HOSPITAL, L.P.",713-995-0909,6500 HORNWOOD DR,77074,Psychiatric Hospital,454068,Yes,https://www.ahd.com/free_profile/454068/West-Oaks-Hospital/Houston/TX/
Willow Springs Center,Reno,NV,116,OWNED,2,1790883205,WILLOW SPRINGS LLC,775-789-4245,PO BOX 30012,89520,"Social Worker, Clinical",294040,Yes,https://www.ahd.com/free_profile/294040/Willow-Springs-Center/Reno/NV/
Windmoor Healthcare of Clearwater,Clearwater,FL,144,OWNED,2,1891888558,WINDMOOR HEALTHCARE INC,727-541-2646,11300 US 19 N,33764,"Psychiatry & Neurology, Psychiatry",104070,Yes,https://www.ahd.com/free_profile/104070/Windmoor-Healthcare-of-Clearwater/Clearwater/FL/
Windsor Laurelwood Center for Behavioral Medicine,Willoughby,OH,160,LEASED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Windsor+Laurelwood+Center+for+Behavioral+Medicine+OH
Wyoming Behavioral Institute,Casper,WY,137,OWNED,2,1295709822,"UHS OF WYOMING, INC",307-237-7444,2521 E 15TH ST,82609,"Psychiatry & Neurology, Psychiatry",,No,https://www.ahd.com/search.php?search=Wyoming+Behavioral+Institute+WY
